offering_id,name,hotel_class,region_id,type,region,locality
84320,Hotel Solaire Los Angeles,2.0,32655,hotel,CA,Los Angeles
576828,Valley Inn & Conference Center,2.0,32655,hotel,CA,Los Angeles
84513,Quality Inn & Suites by Convention Center,2.5,32655,hotel,CA,Los Angeles
577590,Vibe Hotel,,32655,hotel,CA,Los Angeles
77740,Howard Johnson Los Angeles,2.0,32655,hotel,CA,Los Angeles
549431,Americas Best Value Inn - Hollywood / Los Angeles,2.0,32655,hotel,CA,Los Angeles
113229,Highland Gardens Hotel,2.0,32655,hotel,CA,Los Angeles
271600,Crescent Motel,,32655,hotel,CA,Los Angeles
1225375,Ramada Los Angeles Convention Center,2.5,32655,hotel,CA,Los Angeles
78679,BEST WESTERN PLUS Mikado Hotel,3.0,32655,hotel,CA,Los Angeles
235134,Super 8 Hollywood,2.0,32655,hotel,CA,Los Angeles
313508,Motel 6 Canoga Park,2.0,32655,hotel,CA,Los Angeles
84499,Hollywood Stars Inn,2.0,32655,hotel,CA,Los Angeles
559383,Hollywood Inn Express North,1.5,32655,hotel,CA,Los Angeles
119492,Beverly Inn,,32655,hotel,CA,Los Angeles
1645834,Seaway Motel,,32655,hotel,CA,Los Angeles
282463,Americas Best Value Inn,,32655,hotel,CA,Los Angeles
570050,Sunset Inn & Suites,2.0,32655,hotel,CA,Los Angeles
223044,Vagabond Inn Executive,2.0,32655,hotel,CA,Los Angeles
549441,Hollywood Inn Express South,2.0,32655,hotel,CA,Los Angeles
84442,Travelodge Chatsworth,2.5,32655,hotel,CA,Los Angeles
81120,BEST WESTERN Los Angeles Worldport Hotel,,32655,hotel,CA,Los Angeles
77852,The Wilshire Hotel Los Angeles,3.0,32655,hotel,CA,Los Angeles
82498,Motel 6 Van Nuys,2.0,32655,hotel,CA,Los Angeles
1223148,Starlight Inn,,32655,hotel,CA,Los Angeles
589309,Knights Inn Los Angeles,1.5,32655,hotel,CA,Los Angeles
217240,Nite Inn at Universal City,2.0,32655,hotel,CA,Los Angeles
613619,Paradise Inn & Suites,,32655,hotel,CA,Los Angeles
1186068,Budget Inn Hollywood,,32655,hotel,CA,Los Angeles
575416,Marina Seven Motel,,32655,hotel,CA,Los Angeles
